epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9087719321250916,0.25004494190216064,1e-05,0.8958333134651184,0.30961769819259644
1,0.9228070378303528,0.20159895718097687,1e-05,0.8958333134651184,0.3127531111240387
2,0.9087719321250916,0.2058357447385788,1e-05,0.8541666865348816,0.33264225721359253
3,0.9122806787490845,0.20740491151809692,2e-06,0.8541666865348816,0.32377251982688904
4,0.9438596367835999,0.17914746701717377,2e-06,0.8958333134651184,0.3119662404060364
